tid,impact_date,loss_bucket,loss_sub_bucket,shipment_type,station,value,Debit Note Confirm by,Cash Recovery Type,CM/Manager Confirm,Remarks
TRK1234567890,15-01-2026,Lost Parcel,Short Delivery,Delivery,ANDD,245.5,Rahul Sharma,IC Payment,YES,Parcel missing from bag
989898098889,DD-MM-YYYY,e.g. Lost / Damaged,Sub-category,Delivery / ReturnPickup / MFN,Station code e.g. ANDD,Amount in ₹,Name of person confirming,IC Payment / SHIP BANK / CASH,YES / NO,Any additional remarks
TRK12345678990,15-01-2026,Lost Parcel,Short Delivery,Delivery,ANDD,245.5,Rahul Sharma,IC Payment,YES,Parcel missing from bag
98900098877767,DD-MM-YYYY,e.g. Lost / Damaged,Sub-category,Delivery / ReturnPickup / MFN,Station code e.g. ANDD,Amount in ₹,Name of person confirming,IC Payment / SHIP BANK / CASH,YES / NO,Any additional remarks
TRK1234567887,15-01-2026,Lost Parcel,Short Delivery,Delivery,ANDD,245.5,Rahul Sharma,IC Payment,YES,Parcel missing from bag
TRK1234567865,DD-MM-YYYY,e.g. Lost / Damaged,Sub-category,Delivery / ReturnPickup / MFN,Station code e.g. ANDD,Amount in ₹,Name of person confirming,IC Payment / SHIP BANK / CASH,YES / NO,Any additional remarks
TRK1234567809,15-01-2026,Lost Parcel,Short Delivery,Delivery,ANDD,245.5,Rahul Sharma,IC Payment,YES,Parcel missing from bag
TRK1234567812,DD-MM-YYYY,e.g. Lost / Damaged,Sub-category,Delivery / ReturnPickup / MFN,Station code e.g. ANDD,Amount in ₹,Name of person confirming,IC Payment / SHIP BANK / CASH,YES / NO,Any additional remarks
TRK1234567813,15-01-2026,Lost Parcel,Short Delivery,Delivery,ANDD,245.5,Rahul Sharma,IC Payment,YES,Parcel missing from bag
TRK1234567867,DD-MM-YYYY,e.g. Lost / Damaged,Sub-category,Delivery / ReturnPickup / MFN,Station code e.g. ANDD,Amount in ₹,Name of person confirming,IC Payment / SHIP BANK / CASH,YES / NO,Any additional remarks
